新余市,江西,1789,90.4,230.00,45.67,78.44
萍乡市,江西,1065,91.0,85.70,43.15,50.87
邢台市,河北,132,89.0,114.80,89.03,93.54
吕梁市,山西,1339,33.1,50.20,25.46,25.80
商洛市,陕西,2645,56.6,40.00,23.65,26.00
六盘水市,贵州,476,50.9,235.37,33.54,72.50
保山市,云南,5011,93.2,68.00,31.26,34.58
营口市,辽宁,702,96.9,529.49,85.72,188.80
普洱市,云南,3928,31.5,50.00,19.25,26.50
毕节市,贵州,3412,159.2,166.09,25.10,43.00
巴彦淖尔市,内蒙古,2354,52.1,80.51,33.89,51.00
平凉市,甘肃,1936,57.0,255.00,31.84,42.00
阳泉市,山西,652,71.5,55.97,55.53,55.97
昭通市,云南,2240,90.8,61.00,25.98,41.95
临沧市,云南,2557,33.5,35.18,17.89,22.04
亳州市,安徽,2226,166.0,86.90,31.00,62.24
威海市,山东,2607,133.6,630.73,79.34,192.77
汉中市,陕西,546,57.1,100.42,41.82,42.50
珠海市,广东,1656,114.8,790.19,72.73,141.31
中山市,广东,1800,161.3,257.78,43.65,139.21
三亚市,海南,1921,58.2,188.00,26.10,55.79
眉山市,四川,1796,121.7,253.56,45.89,63.74
盘锦市,辽宁,1668,84.5,664.02,82.02,192.34
宣城市,安徽,2621,86.4,131.77,26.45,55.00
石嘴山市,宁夏,2381,50.8,118.20,45.40,102.80
日照市,山东,2043,135.6,403.70,65.01,103.70
宿迁市,江苏,2108,176.1,352.64,69.60,86.04
北海市,广西,957,66.1,957.00,36.96,75.80
丽江市,云南,1255,15.5,26.00,10.49,24.00
葫芦岛市,辽宁,2301,70.1,575.00,49.74,87.30
张家界市,湖南,2571,55.6,54.08,20.14,32.99
漯河市,河南,1020,137.4,106.82,58.00,67.00
广安市,四川,1536,113.8,141.81,32.10,52.60
武威市,甘肃,5081,104.8,32.45,32.63,32.45
吴忠市,宁夏,1415,40.6,60.00,22.61,53.50
白银市,甘肃,3478,51.7,99.50,38.68,63.00
阳江市,广东,2269,121.7,409.93,43.76,64.12
遂宁市,四川,1876,150.0,316.00,61.94,79.00
广元市,四川,4535,93.7,216.70,41.43,59.54
揭阳市,广东,1031,209.6,210.27,80.94,131.00
鄂州市,湖北,1596,111.2,247.00,41.83,64.40
铁岭市,辽宁,675,54.1,216.15,40.00,56.81
酒泉市,甘肃,3386,43.3,235.00,25.96,53.30
三门峡市,河南,1948,57.5,73.00,45.40,56.00
晋城市,山西,2164,233.0,152.00,49.00,57.00
清远市,广东,3687,145.2,325.14,55.30,85.75
辽源市,吉林,442,46.6,46.30,46.62,46.30
三明市,福建,1178,28.4,220.00,21.18,38.70
克拉玛依市,新疆,7735,30.3,77.92,29.07,75.05
辽阳市,辽宁,1111,87.0,728.19,74.17,105.27
陇南市,甘肃,4683,56.6,40.00,14.46,13.80
七台河市,黑龙江,3646,57.4,191.80,37.64,67.60
随州市,湖北,1425,172.5,266.00,46.58,53.00
朝阳市,辽宁,1171,65.5,570.00,57.80,57.08
嘉峪关市,甘肃,1350,20.5,120.00,20.53,70.40
莱芜市,山东,2246,129.1,614.14,59.90,120.00
铜川市,陕西,2373,74.3,55.00,39.36,48.85
鹰潭市,江西,138,23.9,74.00,22.26,39.00
松原市,吉林,1327,59.8,81.80,46.32,50.80
汕尾市,广东,392,50.3,283.16,21.89,21.60
鹤壁市,河南,679,64.6,130.42,45.41,64.12
鹤岗市,黑龙江,4551,64.9,85.00,54.18,53.22
鄂尔多斯市,内蒙古,2884,32.1,199.42,30.05,116.42
伊春市,黑龙江,19459,81.0,182.78,75.76,156.95
濮阳市,河南,263,73.2,153.56,54.40,59.00
白山市,吉林,2736,56.4,388.11,37.20,47.35
定西市,甘肃,4226,46.7,35.89,18.57,25.20
朔州市,山西,4107,67.4,176.00,37.60,49.70
贵港市,广西,3533,199.6,301.50,41.73,73.23
巴中市,四川,2566,136.0,160.29,40.13,53.00
资阳市,四川,1633,110.6,186.87,28.20,49.20
金昌市,甘肃,3019,21.3,52.30,15.91,43.05
来宾市,广西,4363,112.6,92.00,29.71,43.10
